id,name,full_name,owner,description,language,topics,stargazers_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,license,readme,languages_detail,fork,industry_code,industry_name,confidence,reasoning,owner_login
21,repo_21,dev_peru_004/repo_21,{'login': 'dev_peru_004'},A PHP project for industry F.,PHP,"['php', 'peru']",8,2,8,6,2016-06-25T00:00:00Z,2031-10-27T00:00:00Z,2029-01-18T00:00:00Z,{'name': 'MIT'},"# Repo 21
A demo project.",{'PHP': 24976},False,Q,Human health and social work,low,Synthetic classification.,dev_peru_004
22,repo_22,dev_peru_004/repo_22,{'login': 'dev_peru_004'},A C++ project for industry I.,C++,"['c++', 'peru']",42,14,42,15,2025-11-06T00:00:00Z,2032-01-17T00:00:00Z,2026-04-23T00:00:00Z,{'name': 'MIT'},"# Repo 22
A demo project.",{'C++': 23198},False,D,"Electricity, gas, steam supply",medium,Synthetic classification.,dev_peru_004
23,repo_23,dev_peru_004/repo_23,{'login': 'dev_peru_004'},A JavaScript project for industry H.,JavaScript,"['javascript', 'peru']",6,0,6,12,2025-11-05T00:00:00Z,2032-06-26T00:00:00Z,2032-01-09T00:00:00Z,{'name': 'MIT'},"# Repo 23
A demo project.",{'JavaScript': 6918},False,M,"Professional, scientific activities",high,Synthetic classification.,dev_peru_004
24,repo_24,dev_peru_004/repo_24,{'login': 'dev_peru_004'},A C++ project for industry O.,C++,"['c++', 'peru']",3,0,3,11,2022-07-18T00:00:00Z,2031-05-26T00:00:00Z,2030-07-16T00:00:00Z,,"# Repo 24
A demo project.",{'C++': 25970},False,U,Extraterritorial organizations,medium,Synthetic classification.,dev_peru_004
25,repo_25,dev_peru_004/repo_25,{'login': 'dev_peru_004'},A JavaScript project for industry P.,JavaScript,"['javascript', 'peru']",5,1,5,0,2021-12-12T00:00:00Z,2032-11-30T00:00:00Z,2033-07-30T00:00:00Z,{'name': 'MIT'},"# Repo 25
A demo project.",{'JavaScript': 40982},False,H,Transportation and storage,low,Synthetic classification.,dev_peru_004
26,repo_26,dev_peru_005/repo_26,{'login': 'dev_peru_005'},A Ruby project for industry J.,Ruby,"['ruby', 'peru']",16,5,16,20,2019-07-31T00:00:00Z,2024-04-22T00:00:00Z,2024-07-26T00:00:00Z,,"# Repo 26
A demo project.",{'Ruby': 3438},False,J,Information and communication,medium,Synthetic classification.,dev_peru_005
27,repo_27,dev_peru_005/repo_27,{'login': 'dev_peru_005'},A JavaScript project for industry R.,JavaScript,"['javascript', 'peru']",12,1,12,4,2019-05-11T00:00:00Z,2028-02-02T00:00:00Z,2027-02-28T00:00:00Z,{'name': 'MIT'},"# Repo 27
A demo project.",{'JavaScript': 49702},False,R,"Arts, entertainment and recreation",medium,Synthetic classification.,dev_peru_005
28,repo_28,dev_peru_006/repo_28,{'login': 'dev_peru_006'},A C# project for industry N.,C#,"['c#', 'peru']",54,16,54,20,2016-02-10T00:00:00Z,2032-05-07T00:00:00Z,2028-06-27T00:00:00Z,{'name': 'MIT'},"# Repo 28
A demo project.",{'C#': 19333},False,B,Mining and quarrying,low,Synthetic classification.,dev_peru_006
29,repo_29,dev_peru_006/repo_29,{'login': 'dev_peru_006'},A PHP project for industry O.,PHP,"['php', 'peru']",24,3,24,7,2024-08-04T00:00:00Z,2027-01-25T00:00:00Z,2024-02-11T00:00:00Z,{'name': 'MIT'},"# Repo 29
A demo project.",{'PHP': 25073},False,R,"Arts, entertainment and recreation",low,Synthetic classification.,dev_peru_006
30,repo_30,dev_peru_006/repo_30,{'login': 'dev_peru_006'},A PHP project for industry I.,PHP,"['php', 'peru']",5,0,5,6,2025-11-09T00:00:00Z,2024-05-15T00:00:00Z,2033-08-23T00:00:00Z,{'name': 'MIT'},"# Repo 30
A demo project.",{'PHP': 30800},False,C,Manufacturing,low,Synthetic classification.,dev_peru_006
31,repo_31,dev_peru_006/repo_31,{'login': 'dev_peru_006'},A Java project for industry T.,Java,"['java', 'peru']",13,3,13,0,2015-07-27T00:00:00Z,2031-10-28T00:00:00Z,2026-09-28T00:00:00Z,,"# Repo 31
A demo project.",{'Java': 9252},False,S,Other service activities,high,Synthetic classification.,dev_peru_006
32,repo_32,dev_peru_006/repo_32,{'login': 'dev_peru_006'},A JavaScript project for industry R.,JavaScript,"['javascript', 'peru']",8,2,8,6,2021-07-29T00:00:00Z,2025-06-03T00:00:00Z,2032-02-13T00:00:00Z,{'name': 'MIT'},"# Repo 32
A demo project.",{'JavaScript': 22532},False,E,Water supply; sewerage,low,Synthetic classification.,dev_peru_006
33,repo_33,dev_peru_006/repo_33,{'login': 'dev_peru_006'},A Python project for industry E.,Python,"['python', 'peru']",1,0,1,4,2021-01-21T00:00:00Z,2025-10-23T00:00:00Z,2031-12-15T00:00:00Z,,"# Repo 33
A demo project.",{'Python': 44323},False,A,"Agriculture, forestry and fishing",high,Synthetic classification.,dev_peru_006
34,repo_34,dev_peru_006/repo_34,{'login': 'dev_peru_006'},A Python project for industry H.,Python,"['python', 'peru']",34,5,34,18,2018-08-19T00:00:00Z,2023-03-06T00:00:00Z,2024-12-14T00:00:00Z,,"# Repo 34
A demo project.",{'Python': 9307},False,N,Administrative and support activities,low,Synthetic classification.,dev_peru_006
35,repo_35,dev_peru_006/repo_35,{'login': 'dev_peru_006'},A JavaScript project for industry P.,JavaScript,"['javascript', 'peru']",2,0,2,14,2023-09-22T00:00:00Z,2027-01-22T00:00:00Z,2028-10-03T00:00:00Z,{'name': 'MIT'},"# Repo 35
A demo project.",{'JavaScript': 30622},False,Q,Human health and social work,high,Synthetic classification.,dev_peru_006
36,repo_36,dev_peru_006/repo_36,{'login': 'dev_peru_006'},A Go project for industry Q.,Go,"['go', 'peru']",11,0,11,9,2020-02-20T00:00:00Z,2030-03-20T00:00:00Z,2033-10-23T00:00:00Z,,"# Repo 36
A demo project.",{'Go': 32390},False,M,"Professional, scientific activities",medium,Synthetic classification.,dev_peru_006
37,repo_37,dev_peru_006/repo_37,{'login': 'dev_peru_006'},A Ruby project for industry O.,Ruby,"['ruby', 'peru']",13,1,13,2,2025-01-31T00:00:00Z,2023-11-27T00:00:00Z,2026-08-12T00:00:00Z,{'name': 'MIT'},"# Repo 37
A demo project.",{'Ruby': 5304},False,E,Water supply; sewerage,medium,Synthetic classification.,dev_peru_006
38,repo_38,dev_peru_007/repo_38,{'login': 'dev_peru_007'},A Ruby project for industry K.,Ruby,"['ruby', 'peru']",45,11,45,12,2021-09-12T00:00:00Z,2028-12-13T00:00:00Z,2026-04-22T00:00:00Z,,"# Repo 38
A demo project.",{'Ruby': 40677},False,N,Administrative and support activities,high,Synthetic classification.,dev_peru_007
39,repo_39,dev_peru_007/repo_39,{'login': 'dev_peru_007'},A Rust project for industry U.,Rust,"['rust', 'peru']",7,2,7,20,2024-11-04T00:00:00Z,2031-08-16T00:00:00Z,2029-03-08T00:00:00Z,{'name': 'MIT'},"# Repo 39
A demo project.",{'Rust': 15091},False,N,Administrative and support activities,medium,Synthetic classification.,dev_peru_007
40,repo_40,dev_peru_007/repo_40,{'login': 'dev_peru_007'},A Java project for industry O.,Java,"['java', 'peru']",5,0,5,12,2019-08-31T00:00:00Z,2031-03-08T00:00:00Z,2024-01-25T00:00:00Z,,"# Repo 40
A demo project.",{'Java': 21481},False,I,Accommodation and food services,medium,Synthetic classification.,dev_peru_007
41,repo_41,dev_peru_007/repo_41,{'login': 'dev_peru_007'},A TypeScript project for industry P.,TypeScript,"['typescript', 'peru']",23,6,23,2,2016-01-09T00:00:00Z,2032-04-29T00:00:00Z,2023-12-16T00:00:00Z,,"# Repo 41
A demo project.",{'TypeScript': 7328},False,L,Real estate activities,high,Synthetic classification.,dev_peru_007
42,repo_42,dev_peru_007/repo_42,{'login': 'dev_peru_007'},A Dart project for industry R.,Dart,"['dart', 'peru']",2,0,2,17,2018-09-12T00:00:00Z,2030-07-07T00:00:00Z,2024-05-15T00:00:00Z,,"# Repo 42
A demo project.",{'Dart': 44603},False,N,Administrative and support activities,low,Synthetic classification.,dev_peru_007
43,repo_43,dev_peru_007/repo_43,{'login': 'dev_peru_007'},A Python project for industry T.,Python,"['python', 'peru']",12,4,12,9,2018-12-11T00:00:00Z,2024-02-29T00:00:00Z,2029-06-25T00:00:00Z,{'name': 'MIT'},"# Repo 43
A demo project.",{'Python': 11140},False,P,Education,high,Synthetic classification.,dev_peru_007
44,repo_44,dev_peru_007/repo_44,{'login': 'dev_peru_007'},A Swift project for industry R.,Swift,"['swift', 'peru']",6,0,6,11,2016-04-15T00:00:00Z,2031-07-21T00:00:00Z,2026-02-15T00:00:00Z,{'name': 'MIT'},"# Repo 44
A demo project.",{'Swift': 29122},False,R,"Arts, entertainment and recreation",low,Synthetic classification.,dev_peru_007
45,repo_45,dev_peru_007/repo_45,{'login': 'dev_peru_007'},A Go project for industry R.,Go,"['go', 'peru']",3,0,3,0,2021-10-30T00:00:00Z,2033-06-02T00:00:00Z,2030-05-18T00:00:00Z,{'name': 'MIT'},"# Repo 45
A demo project.",{'Go': 18527},False,A,"Agriculture, forestry and fishing",high,Synthetic classification.,dev_peru_007
46,repo_46,dev_peru_007/repo_46,{'login': 'dev_peru_007'},A C++ project for industry J.,C++,"['c++', 'peru']",7,2,7,10,2018-12-08T00:00:00Z,2023-01-26T00:00:00Z,2025-01-13T00:00:00Z,{'name': 'MIT'},"# Repo 46
A demo project.",{'C++': 38114},False,M,"Professional, scientific activities",high,Synthetic classification.,dev_peru_007
47,repo_47,dev_peru_007/repo_47,{'login': 'dev_peru_007'},A TypeScript project for industry A.,TypeScript,"['typescript', 'peru']",41,12,41,2,2023-05-15T00:00:00Z,2028-12-12T00:00:00Z,2025-05-31T00:00:00Z,,"# Repo 47
A demo project.",{'TypeScript': 30730},False,K,Financial and insurance activities,high,Synthetic classification.,dev_peru_007
48,repo_48,dev_peru_008/repo_48,{'login': 'dev_peru_008'},A C++ project for industry S.,C++,"['c++', 'peru']",52,15,52,19,2015-12-14T00:00:00Z,2032-11-27T00:00:00Z,2023-08-04T00:00:00Z,,"# Repo 48
A demo project.",{'C++': 41490},False,B,Mining and quarrying,low,Synthetic classification.,dev_peru_008
49,repo_49,dev_peru_008/repo_49,{'login': 'dev_peru_008'},A JavaScript project for industry N.,JavaScript,"['javascript', 'peru']",1,0,1,15,2021-10-22T00:00:00Z,2027-12-16T00:00:00Z,2027-08-24T00:00:00Z,,"# Repo 49
A demo project.",{'JavaScript': 34577},False,D,"Electricity, gas, steam supply",medium,Synthetic classification.,dev_peru_008
50,repo_50,dev_peru_008/repo_50,{'login': 'dev_peru_008'},A R project for industry S.,R,"['r', 'peru']",39,3,39,15,2020-11-28T00:00:00Z,2030-06-25T00:00:00Z,2026-06-17T00:00:00Z,,"# Repo 50
A demo project.",{'R': 26903},False,T,Activities of households,high,Synthetic classification.,dev_peru_008
51,repo_51,dev_peru_008/repo_51,{'login': 'dev_peru_008'},A Python project for industry G.,Python,"['python', 'peru']",31,3,31,4,2023-07-28T00:00:00Z,2025-11-12T00:00:00Z,2026-03-31T00:00:00Z,,"# Repo 51
A demo project.",{'Python': 1506},False,P,Education,low,Synthetic classification.,dev_peru_008
52,repo_52,dev_peru_008/repo_52,{'login': 'dev_peru_008'},A R project for industry M.,R,"['r', 'peru']",19,2,19,17,2022-11-22T00:00:00Z,2025-07-31T00:00:00Z,2028-08-11T00:00:00Z,{'name': 'MIT'},"# Repo 52
A demo project.",{'R': 44781},False,L,Real estate activities,high,Synthetic classification.,dev_peru_008
53,repo_53,dev_peru_008/repo_53,{'login': 'dev_peru_008'},A R project for industry B.,R,"['r', 'peru']",13,4,13,13,2015-03-18T00:00:00Z,2028-02-27T00:00:00Z,2033-05-01T00:00:00Z,,"# Repo 53
A demo project.",{'R': 21516},False,S,Other service activities,medium,Synthetic classification.,dev_peru_008
54,repo_54,dev_peru_009/repo_54,{'login': 'dev_peru_009'},A R project for industry N.,R,"['r', 'peru']",8,2,8,9,2016-04-16T00:00:00Z,2027-07-18T00:00:00Z,2023-03-27T00:00:00Z,{'name': 'MIT'},"# Repo 54
A demo project.",{'R': 12263},False,T,Activities of households,medium,Synthetic classification.,dev_peru_009
55,repo_55,dev_peru_009/repo_55,{'login': 'dev_peru_009'},A Swift project for industry L.,Swift,"['swift', 'peru']",1,0,1,2,2019-11-24T00:00:00Z,2032-06-21T00:00:00Z,2024-03-09T00:00:00Z,,"# Repo 55
A demo project.",{'Swift': 39592},False,M,"Professional, scientific activities",low,Synthetic classification.,dev_peru_009
56,repo_56,dev_peru_009/repo_56,{'login': 'dev_peru_009'},A JavaScript project for industry J.,JavaScript,"['javascript', 'peru']",17,3,17,10,2017-06-26T00:00:00Z,2026-09-26T00:00:00Z,2031-09-27T00:00:00Z,,"# Repo 56
A demo project.",{'JavaScript': 34455},False,U,Extraterritorial organizations,high,Synthetic classification.,dev_peru_009
57,repo_57,dev_peru_009/repo_57,{'login': 'dev_peru_009'},A Dart project for industry L.,Dart,"['dart', 'peru']",1,0,1,11,2023-02-27T00:00:00Z,2033-09-29T00:00:00Z,2032-03-08T00:00:00Z,{'name': 'MIT'},"# Repo 57
A demo project.",{'Dart': 10679},False,H,Transportation and storage,high,Synthetic classification.,dev_peru_009
58,repo_58,dev_peru_009/repo_58,{'login': 'dev_peru_009'},A TypeScript project for industry F.,TypeScript,"['typescript', 'peru']",6,0,6,19,2016-09-18T00:00:00Z,2031-07-11T00:00:00Z,2031-07-07T00:00:00Z,{'name': 'MIT'},"# Repo 58
A demo project.",{'TypeScript': 12609},False,U,Extraterritorial organizations,medium,Synthetic classification.,dev_peru_009
59,repo_59,dev_peru_009/repo_59,{'login': 'dev_peru_009'},A Kotlin project for industry S.,Kotlin,"['kotlin', 'peru']",19,5,19,14,2022-08-21T00:00:00Z,2033-05-13T00:00:00Z,2032-11-21T00:00:00Z,{'name': 'MIT'},"# Repo 59
A demo project.",{'Kotlin': 42634},False,T,Activities of households,medium,Synthetic classification.,dev_peru_009
60,repo_60,dev_peru_009/repo_60,{'login': 'dev_peru_009'},A Swift project for industry K.,Swift,"['swift', 'peru']",69,26,69,4,2019-12-07T00:00:00Z,2023-10-07T00:00:00Z,2028-04-04T00:00:00Z,,"# Repo 60
A demo project.",{'Swift': 20845},False,I,Accommodation and food services,low,Synthetic classification.,dev_peru_009
61,repo_61,dev_peru_009/repo_61,{'login': 'dev_peru_009'},A Python project for industry C.,Python,"['python', 'peru']",15,2,15,9,2020-03-06T00:00:00Z,2028-01-26T00:00:00Z,2023-06-04T00:00:00Z,,"# Repo 61
A demo project.",{'Python': 19813},False,C,Manufacturing,low,Synthetic classification.,dev_peru_009
62,repo_62,dev_peru_009/repo_62,{'login': 'dev_peru_009'},A Swift project for industry C.,Swift,"['swift', 'peru']",22,8,22,19,2021-08-30T00:00:00Z,2028-09-07T00:00:00Z,2027-04-24T00:00:00Z,,"# Repo 62
A demo project.",{'Swift': 37327},False,B,Mining and quarrying,medium,Synthetic classification.,dev_peru_009
63,repo_63,dev_peru_009/repo_63,{'login': 'dev_peru_009'},A Rust project for industry G.,Rust,"['rust', 'peru']",10,2,10,10,2021-10-14T00:00:00Z,2028-05-02T00:00:00Z,2028-08-15T00:00:00Z,,"# Repo 63
A demo project.",{'Rust': 5054},False,O,Public administration and defense,high,Synthetic classification.,dev_peru_009
64,repo_64,dev_peru_010/repo_64,{'login': 'dev_peru_010'},A C# project for industry U.,C#,"['c#', 'peru']",1,0,1,5,2015-06-10T00:00:00Z,2025-10-11T00:00:00Z,2030-12-08T00:00:00Z,,"# Repo 64
A demo project.",{'C#': 29797},False,Q,Human health and social work,low,Synthetic classification.,dev_peru_010
65,repo_65,dev_peru_010/repo_65,{'login': 'dev_peru_010'},A Go project for industry L.,Go,"['go', 'peru']",23,2,23,9,2019-05-06T00:00:00Z,2027-08-02T00:00:00Z,2031-09-08T00:00:00Z,,"# Repo 65
A demo project.",{'Go': 40183},False,B,Mining and quarrying,low,Synthetic classification.,dev_peru_010
66,repo_66,dev_peru_010/repo_66,{'login': 'dev_peru_010'},A Ruby project for industry K.,Ruby,"['ruby', 'peru']",45,7,45,3,2021-04-04T00:00:00Z,2030-08-10T00:00:00Z,2027-05-03T00:00:00Z,,"# Repo 66
A demo project.",{'Ruby': 48430},False,T,Activities of households,high,Synthetic classification.,dev_peru_010
67,repo_67,dev_peru_010/repo_67,{'login': 'dev_peru_010'},A PHP project for industry E.,PHP,"['php', 'peru']",17,1,17,11,2018-06-24T00:00:00Z,2033-11-07T00:00:00Z,2030-05-11T00:00:00Z,{'name': 'MIT'},"# Repo 67
A demo project.",{'PHP': 26687},False,E,Water supply; sewerage,low,Synthetic classification.,dev_peru_010
68,repo_68,dev_peru_010/repo_68,{'login': 'dev_peru_010'},A C# project for industry J.,C#,"['c#', 'peru']",1,0,1,17,2019-03-23T00:00:00Z,2030-03-20T00:00:00Z,2031-11-17T00:00:00Z,,"# Repo 68
A demo project.",{'C#': 9375},False,Q,Human health and social work,high,Synthetic classification.,dev_peru_010
69,repo_69,dev_peru_010/repo_69,{'login': 'dev_peru_010'},A Ruby project for industry Q.,Ruby,"['ruby', 'peru']",1,0,1,11,2015-03-16T00:00:00Z,2027-01-25T00:00:00Z,2026-06-19T00:00:00Z,,"# Repo 69
A demo project.",{'Ruby': 15037},False,K,Financial and insurance activities,medium,Synthetic classification.,dev_peru_010
70,repo_70,dev_peru_011/repo_70,{'login': 'dev_peru_011'},A Java project for industry E.,Java,"['java', 'peru']",4,1,4,2,2018-04-26T00:00:00Z,2032-06-20T00:00:00Z,2031-11-03T00:00:00Z,,"# Repo 70
A demo project.",{'Java': 36374},False,Q,Human health and social work,high,Synthetic classification.,dev_peru_011
71,repo_71,dev_peru_011/repo_71,{'login': 'dev_peru_011'},A Ruby project for industry T.,Ruby,"['ruby', 'peru']",1,0,1,4,2021-09-12T00:00:00Z,2027-03-24T00:00:00Z,2024-09-23T00:00:00Z,,"# Repo 71
A demo project.",{'Ruby': 46406},False,T,Activities of households,high,Synthetic classification.,dev_peru_011
72,repo_72,dev_peru_011/repo_72,{'login': 'dev_peru_011'},A C# project for industry N.,C#,"['c#', 'peru']",35,7,35,11,2022-08-02T00:00:00Z,2031-01-26T00:00:00Z,2025-08-30T00:00:00Z,{'name': 'MIT'},"# Repo 72
A demo project.",{'C#': 41015},False,J,Information and communication,low,Synthetic classification.,dev_peru_011
73,repo_73,dev_peru_011/repo_73,{'login': 'dev_peru_011'},A Rust project for industry R.,Rust,"['rust', 'peru']",14,2,14,7,2018-06-21T00:00:00Z,2033-10-30T00:00:00Z,2032-01-26T00:00:00Z,{'name': 'MIT'},"# Repo 73
A demo project.",{'Rust': 13715},False,L,Real estate activities,low,Synthetic classification.,dev_peru_011
74,repo_74,dev_peru_012/repo_74,{'login': 'dev_peru_012'},A Kotlin project for industry J.,Kotlin,"['kotlin', 'peru']",33,6,33,12,2020-08-21T00:00:00Z,2028-11-30T00:00:00Z,2027-09-11T00:00:00Z,{'name': 'MIT'},"# Repo 74
A demo project.",{'Kotlin': 14087},False,T,Activities of households,high,Synthetic classification.,dev_peru_012
75,repo_75,dev_peru_012/repo_75,{'login': 'dev_peru_012'},A Swift project for industry U.,Swift,"['swift', 'peru']",45,6,45,15,2024-10-20T00:00:00Z,2027-03-01T00:00:00Z,2029-03-21T00:00:00Z,{'name': 'MIT'},"# Repo 75
A demo project.",{'Swift': 47622},False,Q,Human health and social work,high,Synthetic classification.,dev_peru_012
76,repo_76,dev_peru_012/repo_76,{'login': 'dev_peru_012'},A C++ project for industry F.,C++,"['c++', 'peru']",7,0,7,8,2020-01-15T00:00:00Z,2033-02-25T00:00:00Z,2028-10-03T00:00:00Z,,"# Repo 76
A demo project.",{'C++': 29670},False,C,Manufacturing,high,Synthetic classification.,dev_peru_012
77,repo_77,dev_peru_012/repo_77,{'login': 'dev_peru_012'},A Swift project for industry L.,Swift,"['swift', 'peru']",2,0,2,0,2019-08-27T00:00:00Z,2023-08-07T00:00:00Z,2027-06-12T00:00:00Z,{'name': 'MIT'},"# Repo 77
A demo project.",{'Swift': 16451},False,M,"Professional, scientific activities",high,Synthetic classification.,dev_peru_012
