repo_id,repo_name,industry_code,industry_name,confidence,reasoning
75,repo_75,Q,Human health and social work,high,Synthetic classification.
76,repo_76,C,Manufacturing,high,Synthetic classification.
77,repo_77,M,"Professional, scientific activities",high,Synthetic classification.
78,repo_78,E,Water supply; sewerage,high,Synthetic classification.
79,repo_79,C,Manufacturing,high,Synthetic classification.
80,repo_80,J,Information and communication,high,Synthetic classification.
81,repo_81,P,Education,low,Synthetic classification.
82,repo_82,T,Activities of households,medium,Synthetic classification.
83,repo_83,R,"Arts, entertainment and recreation",low,Synthetic classification.
84,repo_84,L,Real estate activities,high,Synthetic classification.
85,repo_85,B,Mining and quarrying,medium,Synthetic classification.
86,repo_86,P,Education,low,Synthetic classification.
87,repo_87,B,Mining and quarrying,medium,Synthetic classification.
88,repo_88,L,Real estate activities,high,Synthetic classification.
89,repo_89,O,Public administration and defense,medium,Synthetic classification.
90,repo_90,N,Administrative and support activities,high,Synthetic classification.
91,repo_91,J,Information and communication,medium,Synthetic classification.
92,repo_92,L,Real estate activities,low,Synthetic classification.
93,repo_93,F,Construction,high,Synthetic classification.
94,repo_94,L,Real estate activities,medium,Synthetic classification.
95,repo_95,S,Other service activities,high,Synthetic classification.
96,repo_96,F,Construction,medium,Synthetic classification.
97,repo_97,T,Activities of households,medium,Synthetic classification.
98,repo_98,O,Public administration and defense,high,Synthetic classification.
99,repo_99,F,Construction,low,Synthetic classification.
100,repo_100,P,Education,high,Synthetic classification.
101,repo_101,C,Manufacturing,medium,Synthetic classification.
102,repo_102,E,Water supply; sewerage,medium,Synthetic classification.
103,repo_103,U,Extraterritorial organizations,low,Synthetic classification.
104,repo_104,Q,Human health and social work,high,Synthetic classification.
105,repo_105,C,Manufacturing,medium,Synthetic classification.
106,repo_106,Q,Human health and social work,low,Synthetic classification.
107,repo_107,K,Financial and insurance activities,low,Synthetic classification.
108,repo_108,U,Extraterritorial organizations,high,Synthetic classification.
109,repo_109,U,Extraterritorial organizations,medium,Synthetic classification.
110,repo_110,N,Administrative and support activities,medium,Synthetic classification.
111,repo_111,M,"Professional, scientific activities",high,Synthetic classification.
112,repo_112,D,"Electricity, gas, steam supply",high,Synthetic classification.
113,repo_113,S,Other service activities,low,Synthetic classification.
114,repo_114,A,"Agriculture, forestry and fishing",high,Synthetic classification.
115,repo_115,T,Activities of households,low,Synthetic classification.
116,repo_116,L,Real estate activities,medium,Synthetic classification.
117,repo_117,M,"Professional, scientific activities",low,Synthetic classification.
118,repo_118,K,Financial and insurance activities,low,Synthetic classification.
119,repo_119,E,Water supply; sewerage,low,Synthetic classification.
120,repo_120,T,Activities of households,medium,Synthetic classification.
121,repo_121,P,Education,low,Synthetic classification.
122,repo_122,J,Information and communication,low,Synthetic classification.
123,repo_123,S,Other service activities,high,Synthetic classification.
124,repo_124,E,Water supply; sewerage,low,Synthetic classification.
125,repo_125,G,Wholesale and retail trade,medium,Synthetic classification.
126,repo_126,P,Education,low,Synthetic classification.
127,repo_127,U,Extraterritorial organizations,low,Synthetic classification.
128,repo_128,J,Information and communication,low,Synthetic classification.
129,repo_129,I,Accommodation and food services,medium,Synthetic classification.
130,repo_130,J,Information and communication,high,Synthetic classification.
131,repo_131,G,Wholesale and retail trade,high,Synthetic classification.
132,repo_132,H,Transportation and storage,high,Synthetic classification.
133,repo_133,P,Education,high,Synthetic classification.
134,repo_134,P,Education,low,Synthetic classification.
135,repo_135,S,Other service activities,high,Synthetic classification.
136,repo_136,M,"Professional, scientific activities",medium,Synthetic classification.
137,repo_137,J,Information and communication,medium,Synthetic classification.
138,repo_138,K,Financial and insurance activities,high,Synthetic classification.
139,repo_139,G,Wholesale and retail trade,high,Synthetic classification.
140,repo_140,F,Construction,high,Synthetic classification.
141,repo_141,K,Financial and insurance activities,medium,Synthetic classification.
142,repo_142,D,"Electricity, gas, steam supply",medium,Synthetic classification.
143,repo_143,L,Real estate activities,low,Synthetic classification.
144,repo_144,N,Administrative and support activities,low,Synthetic classification.
145,repo_145,Q,Human health and social work,medium,Synthetic classification.
146,repo_146,G,Wholesale and retail trade,low,Synthetic classification.
147,repo_147,P,Education,high,Synthetic classification.
148,repo_148,R,"Arts, entertainment and recreation",medium,Synthetic classification.
149,repo_149,C,Manufacturing,high,Synthetic classification.
150,repo_150,B,Mining and quarrying,medium,Synthetic classification.
151,repo_151,O,Public administration and defense,medium,Synthetic classification.
152,repo_152,M,"Professional, scientific activities",low,Synthetic classification.
153,repo_153,R,"Arts, entertainment and recreation",medium,Synthetic classification.
154,repo_154,D,"Electricity, gas, steam supply",high,Synthetic classification.
155,repo_155,O,Public administration and defense,low,Synthetic classification.
156,repo_156,G,Wholesale and retail trade,high,Synthetic classification.
157,repo_157,T,Activities of households,low,Synthetic classification.
158,repo_158,S,Other service activities,low,Synthetic classification.
159,repo_159,M,"Professional, scientific activities",low,Synthetic classification.
160,repo_160,H,Transportation and storage,high,Synthetic classification.
161,repo_161,R,"Arts, entertainment and recreation",low,Synthetic classification.
162,repo_162,C,Manufacturing,low,Synthetic classification.
163,repo_163,G,Wholesale and retail trade,low,Synthetic classification.
164,repo_164,G,Wholesale and retail trade,high,Synthetic classification.
165,repo_165,R,"Arts, entertainment and recreation",medium,Synthetic classification.
166,repo_166,P,Education,medium,Synthetic classification.
167,repo_167,S,Other service activities,high,Synthetic classification.
168,repo_168,E,Water supply; sewerage,high,Synthetic classification.
169,repo_169,I,Accommodation and food services,medium,Synthetic classification.
170,repo_170,R,"Arts, entertainment and recreation",medium,Synthetic classification.
171,repo_171,B,Mining and quarrying,high,Synthetic classification.
172,repo_172,O,Public administration and defense,medium,Synthetic classification.
173,repo_173,N,Administrative and support activities,high,Synthetic classification.
174,repo_174,N,Administrative and support activities,high,Synthetic classification.
175,repo_175,I,Accommodation and food services,medium,Synthetic classification.
176,repo_176,U,Extraterritorial organizations,low,Synthetic classification.
177,repo_177,F,Construction,high,Synthetic classification.
178,repo_178,H,Transportation and storage,high,Synthetic classification.
179,repo_179,R,"Arts, entertainment and recreation",low,Synthetic classification.
180,repo_180,M,"Professional, scientific activities",high,Synthetic classification.
181,repo_181,K,Financial and insurance activities,medium,Synthetic classification.
182,repo_182,H,Transportation and storage,high,Synthetic classification.
183,repo_183,I,Accommodation and food services,medium,Synthetic classification.
184,repo_184,C,Manufacturing,low,Synthetic classification.
185,repo_185,E,Water supply; sewerage,low,Synthetic classification.
186,repo_186,D,"Electricity, gas, steam supply",high,Synthetic classification.
187,repo_187,L,Real estate activities,low,Synthetic classification.
188,repo_188,R,"Arts, entertainment and recreation",high,Synthetic classification.
189,repo_189,C,Manufacturing,high,Synthetic classification.
190,repo_190,U,Extraterritorial organizations,medium,Synthetic classification.
191,repo_191,T,Activities of households,medium,Synthetic classification.
192,repo_192,E,Water supply; sewerage,medium,Synthetic classification.
193,repo_193,J,Information and communication,low,Synthetic classification.
194,repo_194,L,Real estate activities,high,Synthetic classification.
195,repo_195,O,Public administration and defense,low,Synthetic classification.
196,repo_196,P,Education,high,Synthetic classification.
197,repo_197,T,Activities of households,medium,Synthetic classification.
198,repo_198,R,"Arts, entertainment and recreation",low,Synthetic classification.
199,repo_199,U,Extraterritorial organizations,medium,Synthetic classification.
200,repo_200,Q,Human health and social work,low,Synthetic classification.
201,repo_201,Q,Human health and social work,high,Synthetic classification.
202,repo_202,E,Water supply; sewerage,medium,Synthetic classification.
203,repo_203,O,Public administration and defense,medium,Synthetic classification.
204,repo_204,H,Transportation and storage,low,Synthetic classification.
205,repo_205,U,Extraterritorial organizations,high,Synthetic classification.
206,repo_206,S,Other service activities,medium,Synthetic classification.
207,repo_207,S,Other service activities,high,Synthetic classification.
208,repo_208,P,Education,low,Synthetic classification.
209,repo_209,T,Activities of households,high,Synthetic classification.
210,repo_210,J,Information and communication,high,Synthetic classification.
211,repo_211,N,Administrative and support activities,high,Synthetic classification.
212,repo_212,K,Financial and insurance activities,medium,Synthetic classification.
213,repo_213,Q,Human health and social work,low,Synthetic classification.
214,repo_214,S,Other service activities,high,Synthetic classification.
215,repo_215,S,Other service activities,low,Synthetic classification.
216,repo_216,L,Real estate activities,low,Synthetic classification.
217,repo_217,H,Transportation and storage,medium,Synthetic classification.
218,repo_218,H,Transportation and storage,high,Synthetic classification.
219,repo_219,G,Wholesale and retail trade,high,Synthetic classification.
220,repo_220,J,Information and communication,low,Synthetic classification.
221,repo_221,I,Accommodation and food services,low,Synthetic classification.
222,repo_222,M,"Professional, scientific activities",medium,Synthetic classification.
223,repo_223,M,"Professional, scientific activities",low,Synthetic classification.
224,repo_224,C,Manufacturing,low,Synthetic classification.
225,repo_225,G,Wholesale and retail trade,medium,Synthetic classification.
226,repo_226,B,Mining and quarrying,high,Synthetic classification.
227,repo_227,A,"Agriculture, forestry and fishing",medium,Synthetic classification.
228,repo_228,C,Manufacturing,low,Synthetic classification.
229,repo_229,H,Transportation and storage,medium,Synthetic classification.
230,repo_230,Q,Human health and social work,low,Synthetic classification.
231,repo_231,H,Transportation and storage,medium,Synthetic classification.
232,repo_232,E,Water supply; sewerage,low,Synthetic classification.
233,repo_233,G,Wholesale and retail trade,low,Synthetic classification.
234,repo_234,E,Water supply; sewerage,high,Synthetic classification.
235,repo_235,C,Manufacturing,high,Synthetic classification.
236,repo_236,J,Information and communication,high,Synthetic classification.
237,repo_237,P,Education,medium,Synthetic classification.
238,repo_238,K,Financial and insurance activities,high,Synthetic classification.
239,repo_239,A,"Agriculture, forestry and fishing",low,Synthetic classification.
240,repo_240,J,Information and communication,low,Synthetic classification.
241,repo_241,T,Activities of households,high,Synthetic classification.
242,repo_242,K,Financial and insurance activities,medium,Synthetic classification.
243,repo_243,B,Mining and quarrying,high,Synthetic classification.
244,repo_244,F,Construction,high,Synthetic classification.
245,repo_245,I,Accommodation and food services,high,Synthetic classification.
246,repo_246,I,Accommodation and food services,low,Synthetic classification.
247,repo_247,P,Education,low,Synthetic classification.
248,repo_248,Q,Human health and social work,high,Synthetic classification.
249,repo_249,F,Construction,high,Synthetic classification.
250,repo_250,K,Financial and insurance activities,medium,Synthetic classification.
251,repo_251,Q,Human health and social work,high,Synthetic classification.
252,repo_252,G,Wholesale and retail trade,medium,Synthetic classification.
253,repo_253,R,"Arts, entertainment and recreation",high,Synthetic classification.
254,repo_254,A,"Agriculture, forestry and fishing",medium,Synthetic classification.
255,repo_255,P,Education,high,Synthetic classification.
256,repo_256,L,Real estate activities,medium,Synthetic classification.
257,repo_257,S,Other service activities,high,Synthetic classification.
258,repo_258,K,Financial and insurance activities,medium,Synthetic classification.
259,repo_259,F,Construction,medium,Synthetic classification.
260,repo_260,O,Public administration and defense,medium,Synthetic classification.
261,repo_261,K,Financial and insurance activities,high,Synthetic classification.
262,repo_262,A,"Agriculture, forestry and fishing",medium,Synthetic classification.
263,repo_263,D,"Electricity, gas, steam supply",high,Synthetic classification.
264,repo_264,U,Extraterritorial organizations,high,Synthetic classification.
265,repo_265,C,Manufacturing,medium,Synthetic classification.
266,repo_266,M,"Professional, scientific activities",medium,Synthetic classification.
267,repo_267,E,Water supply; sewerage,high,Synthetic classification.
268,repo_268,C,Manufacturing,medium,Synthetic classification.
269,repo_269,A,"Agriculture, forestry and fishing",medium,Synthetic classification.
270,repo_270,K,Financial and insurance activities,medium,Synthetic classification.
271,repo_271,B,Mining and quarrying,medium,Synthetic classification.
272,repo_272,I,Accommodation and food services,low,Synthetic classification.
273,repo_273,F,Construction,high,Synthetic classification.
274,repo_274,S,Other service activities,high,Synthetic classification.
275,repo_275,H,Transportation and storage,low,Synthetic classification.
276,repo_276,K,Financial and insurance activities,low,Synthetic classification.
277,repo_277,D,"Electricity, gas, steam supply",low,Synthetic classification.
278,repo_278,N,Administrative and support activities,low,Synthetic classification.
279,repo_279,H,Transportation and storage,low,Synthetic classification.
280,repo_280,A,"Agriculture, forestry and fishing",low,Synthetic classification.
281,repo_281,H,Transportation and storage,low,Synthetic classification.
282,repo_282,F,Construction,low,Synthetic classification.
283,repo_283,C,Manufacturing,medium,Synthetic classification.
284,repo_284,N,Administrative and support activities,medium,Synthetic classification.
285,repo_285,H,Transportation and storage,high,Synthetic classification.
286,repo_286,K,Financial and insurance activities,high,Synthetic classification.
287,repo_287,P,Education,low,Synthetic classification.
288,repo_288,K,Financial and insurance activities,high,Synthetic classification.
289,repo_289,M,"Professional, scientific activities",low,Synthetic classification.
290,repo_290,U,Extraterritorial organizations,low,Synthetic classification.
291,repo_291,D,"Electricity, gas, steam supply",medium,Synthetic classification.
292,repo_292,M,"Professional, scientific activities",medium,Synthetic classification.
293,repo_293,E,Water supply; sewerage,low,Synthetic classification.
294,repo_294,B,Mining and quarrying,medium,Synthetic classification.
295,repo_295,M,"Professional, scientific activities",low,Synthetic classification.
296,repo_296,F,Construction,high,Synthetic classification.
297,repo_297,E,Water supply; sewerage,low,Synthetic classification.
298,repo_298,Q,Human health and social work,medium,Synthetic classification.
299,repo_299,E,Water supply; sewerage,low,Synthetic classification.
300,repo_300,L,Real estate activities,medium,Synthetic classification.
301,repo_301,T,Activities of households,low,Synthetic classification.
302,repo_302,P,Education,medium,Synthetic classification.
303,repo_303,D,"Electricity, gas, steam supply",high,Synthetic classification.
304,repo_304,G,Wholesale and retail trade,medium,Synthetic classification.
305,repo_305,Q,Human health and social work,high,Synthetic classification.
306,repo_306,F,Construction,high,Synthetic classification.
307,repo_307,G,Wholesale and retail trade,medium,Synthetic classification.
308,repo_308,P,Education,low,Synthetic classification.
309,repo_309,C,Manufacturing,medium,Synthetic classification.
310,repo_310,H,Transportation and storage,low,Synthetic classification.
311,repo_311,A,"Agriculture, forestry and fishing",medium,Synthetic classification.
312,repo_312,U,Extraterritorial organizations,medium,Synthetic classification.
313,repo_313,T,Activities of households,medium,Synthetic classification.
314,repo_314,D,"Electricity, gas, steam supply",medium,Synthetic classification.
315,repo_315,U,Extraterritorial organizations,medium,Synthetic classification.
316,repo_316,K,Financial and insurance activities,low,Synthetic classification.
317,repo_317,B,Mining and quarrying,low,Synthetic classification.
318,repo_318,P,Education,low,Synthetic classification.
319,repo_319,I,Accommodation and food services,low,Synthetic classification.
320,repo_320,J,Information and communication,medium,Synthetic classification.
321,repo_321,B,Mining and quarrying,low,Synthetic classification.
322,repo_322,M,"Professional, scientific activities",low,Synthetic classification.
323,repo_323,E,Water supply; sewerage,medium,Synthetic classification.
324,repo_324,O,Public administration and defense,medium,Synthetic classification.
325,repo_325,E,Water supply; sewerage,low,Synthetic classification.
326,repo_326,G,Wholesale and retail trade,low,Synthetic classification.
327,repo_327,H,Transportation and storage,high,Synthetic classification.
328,repo_328,C,Manufacturing,high,Synthetic classification.
329,repo_329,E,Water supply; sewerage,medium,Synthetic classification.
330,repo_330,H,Transportation and storage,high,Synthetic classification.
331,repo_331,U,Extraterritorial organizations,high,Synthetic classification.
332,repo_332,D,"Electricity, gas, steam supply",low,Synthetic classification.
333,repo_333,E,Water supply; sewerage,high,Synthetic classification.
334,repo_334,T,Activities of households,low,Synthetic classification.
335,repo_335,P,Education,high,Synthetic classification.
336,repo_336,R,"Arts, entertainment and recreation",medium,Synthetic classification.
337,repo_337,S,Other service activities,low,Synthetic classification.
338,repo_338,U,Extraterritorial organizations,high,Synthetic classification.
339,repo_339,J,Information and communication,medium,Synthetic classification.
340,repo_340,E,Water supply; sewerage,low,Synthetic classification.
341,repo_341,L,Real estate activities,medium,Synthetic classification.
342,repo_342,N,Administrative and support activities,low,Synthetic classification.
343,repo_343,P,Education,low,Synthetic classification.
344,repo_344,E,Water supply; sewerage,medium,Synthetic classification.
345,repo_345,Q,Human health and social work,low,Synthetic classification.
346,repo_346,H,Transportation and storage,medium,Synthetic classification.
347,repo_347,B,Mining and quarrying,high,Synthetic classification.
348,repo_348,K,Financial and insurance activities,high,Synthetic classification.
349,repo_349,C,Manufacturing,medium,Synthetic classification.
350,repo_350,U,Extraterritorial organizations,high,Synthetic classification.
351,repo_351,T,Activities of households,low,Synthetic classification.
352,repo_352,B,Mining and quarrying,high,Synthetic classification.
353,repo_353,O,Public administration and defense,high,Synthetic classification.
354,repo_354,R,"Arts, entertainment and recreation",low,Synthetic classification.
355,repo_355,N,Administrative and support activities,high,Synthetic classification.
356,repo_356,K,Financial and insurance activities,high,Synthetic classification.
357,repo_357,S,Other service activities,low,Synthetic classification.
358,repo_358,P,Education,low,Synthetic classification.
359,repo_359,T,Activities of households,low,Synthetic classification.
360,repo_360,M,"Professional, scientific activities",medium,Synthetic classification.
361,repo_361,R,"Arts, entertainment and recreation",medium,Synthetic classification.
362,repo_362,L,Real estate activities,low,Synthetic classification.
363,repo_363,D,"Electricity, gas, steam supply",medium,Synthetic classification.
364,repo_364,N,Administrative and support activities,high,Synthetic classification.
365,repo_365,J,Information and communication,low,Synthetic classification.
366,repo_366,D,"Electricity, gas, steam supply",low,Synthetic classification.
367,repo_367,J,Information and communication,low,Synthetic classification.
368,repo_368,R,"Arts, entertainment and recreation",high,Synthetic classification.
369,repo_369,U,Extraterritorial organizations,low,Synthetic classification.
370,repo_370,J,Information and communication,medium,Synthetic classification.
371,repo_371,I,Accommodation and food services,high,Synthetic classification.
372,repo_372,E,Water supply; sewerage,medium,Synthetic classification.
373,repo_373,R,"Arts, entertainment and recreation",medium,Synthetic classification.
374,repo_374,F,Construction,medium,Synthetic classification.
375,repo_375,L,Real estate activities,medium,Synthetic classification.
376,repo_376,L,Real estate activities,medium,Synthetic classification.
377,repo_377,M,"Professional, scientific activities",high,Synthetic classification.
378,repo_378,Q,Human health and social work,medium,Synthetic classification.
379,repo_379,R,"Arts, entertainment and recreation",low,Synthetic classification.
380,repo_380,R,"Arts, entertainment and recreation",low,Synthetic classification.
381,repo_381,C,Manufacturing,high,Synthetic classification.
382,repo_382,M,"Professional, scientific activities",medium,Synthetic classification.
383,repo_383,T,Activities of households,high,Synthetic classification.
384,repo_384,J,Information and communication,low,Synthetic classification.
385,repo_385,R,"Arts, entertainment and recreation",high,Synthetic classification.
386,repo_386,U,Extraterritorial organizations,medium,Synthetic classification.
387,repo_387,R,"Arts, entertainment and recreation",low,Synthetic classification.
388,repo_388,F,Construction,high,Synthetic classification.
389,repo_389,R,"Arts, entertainment and recreation",medium,Synthetic classification.
390,repo_390,K,Financial and insurance activities,medium,Synthetic classification.
391,repo_391,P,Education,medium,Synthetic classification.
392,repo_392,N,Administrative and support activities,high,Synthetic classification.
393,repo_393,K,Financial and insurance activities,medium,Synthetic classification.
394,repo_394,I,Accommodation and food services,high,Synthetic classification.
395,repo_395,U,Extraterritorial organizations,high,Synthetic classification.
396,repo_396,R,"Arts, entertainment and recreation",medium,Synthetic classification.
397,repo_397,E,Water supply; sewerage,medium,Synthetic classification.
398,repo_398,F,Construction,low,Synthetic classification.
399,repo_399,P,Education,medium,Synthetic classification.
400,repo_400,G,Wholesale and retail trade,low,Synthetic classification.
401,repo_401,D,"Electricity, gas, steam supply",low,Synthetic classification.
402,repo_402,L,Real estate activities,low,Synthetic classification.
403,repo_403,M,"Professional, scientific activities",medium,Synthetic classification.
404,repo_404,O,Public administration and defense,high,Synthetic classification.
405,repo_405,D,"Electricity, gas, steam supply",low,Synthetic classification.
406,repo_406,F,Construction,low,Synthetic classification.
407,repo_407,Q,Human health and social work,high,Synthetic classification.
408,repo_408,S,Other service activities,low,Synthetic classification.
409,repo_409,F,Construction,high,Synthetic classification.
410,repo_410,I,Accommodation and food services,high,Synthetic classification.
411,repo_411,D,"Electricity, gas, steam supply",high,Synthetic classification.
412,repo_412,T,Activities of households,low,Synthetic classification.
413,repo_413,T,Activities of households,low,Synthetic classification.
414,repo_414,Q,Human health and social work,medium,Synthetic classification.
415,repo_415,S,Other service activities,high,Synthetic classification.
416,repo_416,N,Administrative and support activities,medium,Synthetic classification.
417,repo_417,G,Wholesale and retail trade,low,Synthetic classification.
418,repo_418,R,"Arts, entertainment and recreation",medium,Synthetic classification.
419,repo_419,P,Education,high,Synthetic classification.
420,repo_420,E,Water supply; sewerage,low,Synthetic classification.
421,repo_421,R,"Arts, entertainment and recreation",low,Synthetic classification.
422,repo_422,E,Water supply; sewerage,medium,Synthetic classification.
423,repo_423,M,"Professional, scientific activities",low,Synthetic classification.
424,repo_424,O,Public administration and defense,high,Synthetic classification.
425,repo_425,H,Transportation and storage,low,Synthetic classification.
426,repo_426,M,"Professional, scientific activities",medium,Synthetic classification.
427,repo_427,R,"Arts, entertainment and recreation",medium,Synthetic classification.
428,repo_428,G,Wholesale and retail trade,medium,Synthetic classification.
429,repo_429,J,Information and communication,medium,Synthetic classification.
430,repo_430,M,"Professional, scientific activities",low,Synthetic classification.
431,repo_431,P,Education,high,Synthetic classification.
432,repo_432,L,Real estate activities,low,Synthetic classification.
433,repo_433,C,Manufacturing,low,Synthetic classification.
434,repo_434,G,Wholesale and retail trade,medium,Synthetic classification.
435,repo_435,L,Real estate activities,high,Synthetic classification.
436,repo_436,P,Education,medium,Synthetic classification.
437,repo_437,M,"Professional, scientific activities",high,Synthetic classification.
438,repo_438,Q,Human health and social work,medium,Synthetic classification.
439,repo_439,A,"Agriculture, forestry and fishing",high,Synthetic classification.
440,repo_440,R,"Arts, entertainment and recreation",medium,Synthetic classification.
441,repo_441,L,Real estate activities,medium,Synthetic classification.
442,repo_442,I,Accommodation and food services,high,Synthetic classification.
443,repo_443,A,"Agriculture, forestry and fishing",high,Synthetic classification.
444,repo_444,I,Accommodation and food services,low,Synthetic classification.
445,repo_445,P,Education,low,Synthetic classification.
446,repo_446,L,Real estate activities,high,Synthetic classification.
447,repo_447,J,Information and communication,medium,Synthetic classification.
448,repo_448,U,Extraterritorial organizations,high,Synthetic classification.
449,repo_449,C,Manufacturing,high,Synthetic classification.
450,repo_450,I,Accommodation and food services,medium,Synthetic classification.
451,repo_451,A,"Agriculture, forestry and fishing",high,Synthetic classification.
452,repo_452,R,"Arts, entertainment and recreation",high,Synthetic classification.
453,repo_453,M,"Professional, scientific activities",medium,Synthetic classification.
454,repo_454,A,"Agriculture, forestry and fishing",high,Synthetic classification.
455,repo_455,R,"Arts, entertainment and recreation",medium,Synthetic classification.
456,repo_456,S,Other service activities,medium,Synthetic classification.
457,repo_457,O,Public administration and defense,medium,Synthetic classification.
458,repo_458,L,Real estate activities,medium,Synthetic classification.
459,repo_459,T,Activities of households,high,Synthetic classification.
460,repo_460,F,Construction,low,Synthetic classification.
461,repo_461,T,Activities of households,low,Synthetic classification.
462,repo_462,F,Construction,high,Synthetic classification.
463,repo_463,K,Financial and insurance activities,high,Synthetic classification.
464,repo_464,O,Public administration and defense,low,Synthetic classification.
465,repo_465,L,Real estate activities,medium,Synthetic classification.
466,repo_466,M,"Professional, scientific activities",high,Synthetic classification.
467,repo_467,H,Transportation and storage,medium,Synthetic classification.
468,repo_468,G,Wholesale and retail trade,medium,Synthetic classification.
469,repo_469,Q,Human health and social work,high,Synthetic classification.
470,repo_470,D,"Electricity, gas, steam supply",high,Synthetic classification.
471,repo_471,A,"Agriculture, forestry and fishing",high,Synthetic classification.
472,repo_472,P,Education,high,Synthetic classification.
473,repo_473,D,"Electricity, gas, steam supply",high,Synthetic classification.
474,repo_474,G,Wholesale and retail trade,high,Synthetic classification.
475,repo_475,J,Information and communication,low,Synthetic classification.
476,repo_476,R,"Arts, entertainment and recreation",high,Synthetic classification.
477,repo_477,U,Extraterritorial organizations,low,Synthetic classification.
478,repo_478,C,Manufacturing,low,Synthetic classification.
